Subject,sex,age,Dist,speed,TotalObjVisits,TotalHallwayVisits,turns,pauses,evenness,HallEvenness,ButtonPress,entropy,hallwayseq
501,Female,young,205.5,0.428125,9.5,43.5,56.5,837.137257824143,0.6009252125773316,1.224744871391589,117,2.9705356649786427,36
503,Female,young,246.5,0.5135416666666667,10,44,68.5,690.894729114668,1.3944333775567925,2.7386127875258306,144,2.735180934444983,31
504,Female,young,248.625,0.51796875,9,46.5,71.5,796.04175859533,1.224744871391589,2.0275875100994063,148.5,2.7135758579943325,62
505,Female,young,217.375,0.45286458333333335,9.5,41.5,58.5,606.342537313433,1.1666666666666667,2.0615528128088303,125.5,2.871965268511342,28
506,Female,young,218,0.45416666666666666,10.5,44.5,61,883.535189075631,1.6583123951777,2.6666666666666665,125,2.937923163155705,34
508,Female,young,205.875,0.42890625,8,43.5,59,755.819904891305,0.6666666666666666,1.3642254619787417,122.5,2.8902850047763344,29
510,Female,young,203.625,0.42421875,8.5,48,60.5,802.660436137072,1.0540925533894598,1.9364916731037085,123.5,2.8582122105002474,40
511,Female,young,245.5,0.5114583333333333,8,42.5,77,703.437128399747,1.3017082793177757,1.4142135623730951,155,2.626395008990446,53
512,Female,young,204.875,0.42682291666666666,10,45.5,54,773.915870346304,0.8333333333333334,1.6583123951777,116,3.0104350027640825,21
513,Female,young,202.875,0.42265625,9,40.5,65.5,695.02238037553,1.4142135623730951,3.2317865716108862,129.5,2.7729745761599296,29
514,Female,young,273.75,0.5703125,7.5,46.5,74,686.187403167499,1.118033988749895,2.598076211353316,153.5,2.6668660318340347,47
517,Female,young,247.5,0.515625,9,45.5,62,884.996735983153,1.224744871391589,2.1213203435596424,139,2.778297983882665,23
518,Female,young,226.5,0.471875,7.5,39.5,78,656.469920700028,1.6583123951777,1.4142135623730951,149.5,2.5989056608591636,39
521,Female,young,256.5,0.534375,8,43,77.5,631.242716802168,1.092906420717,1.481365736219265,155,2.623822906421798,35
522,Female,young,277.375,0.5778645833333333,8.5,44.5,69,551.518179876095,1.2692955176439846,2.4720661623652207,154,2.6972564340081466,33
539,Female,young,277.75,0.5786458333333333,8,49,69.5,635.725679012346,0.97182531580755,2.345207879911715,157,2.662604451677038,39
540,Female,young,276.25,0.5755208333333334,11.5,43,67,583.343426724138,1.0137937550497031,2.242270674512285,153.5,2.734727582956104,25
541,Female,young,234.5,0.48854166666666665,9,45,64,1034.60129499561,0.8660254037844386,1.8708286933869707,136,2.7928128997960573,29
542,Female,young,282.75,0.5890625,9.5,46,66.5,655.886426294478,0.927960727138337,2.386303510546059,153.5,2.6704013343124897,41
543,Female,young,259.25,0.5401041666666667,9.5,46,74,721.786715961244,1.4529663145135578,3.0413812651491097,154.5,2.6977590606185236,45
544,Female,young,253.5,0.528125,10,43,66,811.589191232049,0.8333333333333334,1.90029237516523,142,2.7247734187927146,23
547,Female,young,246.75,0.5140625,10,41.5,75,734.567559153176,0.97182531580755,1.6158932858054431,151,2.7079692346700264,47
548,Female,young,243.75,0.5078125,9.5,45.5,68.5,907.326850094875,0.7817359599705717,1.8333333333333333,146.5,2.7527003432624673,35
549,Female,young,282.25,0.5880208333333333,9,40.5,77.5,539.137175324676,1.3228756555322954,3.278719262151,162,2.5992057711640175,39
550,Female,young,238.75,0.4973958333333333,8.5,39,72.5,827.692223595399,0.927960727138337,1.922093765778466,146.5,2.717694215842603,25
551,Female,young,276.125,0.5752604166666667,10,47.5,78,543.648234447223,0.8333333333333334,1.2692955176439846,163.5,2.6519252760976877,47
507,Male,young,232.375,0.48411458333333335,10,48.5,55.5,707.454475605071,0.97182531580755,1.7320508075688772,126.5,2.869050058974073,40
509,Male,young,270.25,0.5630208333333333,10,41.5,75.5,498.402498552163,1.3944333775567925,2.438123139721299,156.5,2.6772104602063167,27
