"Subject","n_trials","n_explores","n_corrects","n_selects","n_outoftimes","tm_accuracy","tm_select_made","tm_nodesturns_count","tm_nodes_count","tm_turns_count","tm_average_RT","tm_trial_duration","tm_path_dist_trav","tm_euc_dist_trav","tm_path_efficiencies","ts_accuracy","ts_select_made","ts_nodesturns_count","ts_nodes_count","ts_turns_count","ts_average_RT","ts_trial_duration","ts_path_dist_trav","ts_euc_dist_trav","ts_path_efficiencies","em_accuracy","em_select_made","em_turns_count","em_average_RT","em_trial_duration","em_path_dist_trav","em_euc_dist_trav","em_path_efficiencies","es_accuracy","es_select_made","es_turns_count","es_average_RT","es_trial_duration","es_path_dist_trav","es_euc_dist_trav","es_path_efficiencies","enodes_A","enodes_B","enodes_C","enodes_D","enodes_E","enodes_F","enodes_G","enodes_H","enodes_I","enodes_J","enodes_K","enodes_L","enodes_M","enodes_N","enodes_O","enodes_P","enodes_Q","enodes_R","enodes_S","enodes_T","enodes_U","enodes_V","enodes_W","enodes_X","enodes_Y","enodes_Z","lm_bwstair","lm_person","lm_philsbar","lm_starrynight","obj_chair","obj_chicken","obj_clock","obj_guitar","obj_lamp","obj_snowman","obj_spaceship","obj_trophy","obj_umbrella"
"301","24","2","4","19","7","0.166666666666667","0.791666666666667","10.9583333333333","6.41666666666667","4.54166666666667","924.770622201872","31691.5","18.2916666666667","7.59423163397287","0.963430375653507","0.380693493813441","0.414851116999053","4.11232682116317","2.26344613494492","2.24536559755125","583.928739509949","12063.7104646088","8.78198089304441","3.73650325577489","0.487322725512339","NaN","0","53.5","1227.19732760678","1847483.5","250.625","10.6990931232325","NaN",NA,"0","3.53553390593274","59.9321504142099","362414.145668322","0.176776695296637","1.57997236710039",NA,"6","15","23","17","15","9","15","17","4","12","2","6","16","0","3","6","12","17","8","14","14","4","3","13","0","10","18","17","30","29","3","3","3","3","2","4","3","3","2"
"306","24","2","0","17","9","0","0.708333333333333","11.1666666666667","6.125","5.04166666666667","1318.86264117827","38289.9166666667","18.6770833333333","9.02519867570474","0.924887128402744","0","0.464305621487537","2.80785647265214","1.22696160600432","1.96666052565978","471.074131278751","9408.92646427556","5.94333713839117","3.37372476865981","0.324869190770442","NaN","0","50.5","2149.27400308839","1982062.5","178","9.72655939851732","NaN",NA,"0","0.707106781186548","343.042362941279","356589.000004908","22.6274169979695","2.24456778338936",NA,"6","9","21","17","7","8","11","14","4","9","2","6","8","4","2","2","8","12","6","15","12","8","1","16","2","2","15","9","16","24","1","2","1","3","2","4","3","2","4"
"310","24","2","1","8","18","0.0416666666666667","0.333333333333333","12.75","6.5","6.25","1054.28671525234","43293.9583333333","21.46875","7.87904332246812","1.2428126380689","0.204124145231932","0.481543412343077","2.11104754544525","1.17953564923918","1.510830465556","304.746611896532","8236.42224184837","5.3792639810908","3.54265149867266","0.758892902119135","NaN","0","68.5","1065.19421647998","2105629.5","221.25","7.80454823060024","NaN",NA,"0","16.2634559672906","173.217047457553","357495.510898389","7.77817459305202","1.51758157357992",NA,"4","8","15","11","16","10","16","18","4","12","3","4","13","2","2","0","19","24","4","30","15","12","3","24","2","0","20","20","32","27","0","3","3","2","3","3","2","2","6"
"312","24","2","2","16","10","0.0833333333333333","0.666666666666667","12.5","6.5","6","796.485169633607","36871.2916666667","18.8125","6.67260765414431","1.01567230112556","0.28232985128664","0.481543412343077","3.02166093111201","1.50361882311222","2.20670913746948","220.890378929796","9526.20702601703","5.8696205713976","3.65826265639209","0.506177915296537","NaN","0","65.5","1118.29427083333","1936757","212.625","9.3378041543165","NaN",NA,"0","2.12132034355964","220.090668492131","360187.466414366","1.59099025766973","9.31656198129221",NA,"4","7","6","2","10","3","10","10","1","6","1","4","21","0","4","10","10","23","10","30","25","18","4","30","2","17","22","18","27","21","5","1","4","2","1","1","2","4","9"
"313","24","2","5","20","6","0.208333333333333","0.833333333333333","14.1666666666667","7.25","6.91666666666667","553.250427636089","38340.7916666667","22.53125","8.76193320804863","1.19274808104565","0.414851116999053","0.380693493813441","2.46129458100666","1.11316235778192","1.99818758458469","202.562085431964","6794.82338753213","5.72955367599318","3.06751659210051","0.544035843509114","NaN","0","70","652.136583011583","1934824","254.375","11.2183845161358","NaN",NA,"0","0","73.9520392227612","354384.948167949","7.95495128834866","3.37019253103574",NA,"3","12","5","13","17","12","16","16","1","26","5","8","20","2","3","2","8","28","11","20","23","10","6","19","2","2","22","20","29","39","1","4","6","2","5","1","4","3","5"
"315","24","2","3","20","6","0.125","0.833333333333333","11.9583333333333","6.79166666666667","5.16666666666667","579.959827189423","32284.4583333333","19.8229166666667","8.32376588950159","1.0988845220318","0.337831962346088","0.380693493813441","4.51547259471511","1.99954705015839","2.80785647265214","192.069014065308","11907.9351730325","7.58949472979744","3.61515898984359","0.677641763405059","NaN","0","65.5","678.443909538737","1786744.5","276.5","6.90815114904825","NaN",NA,"0","0.707106781186548","73.496514172165","342107.453126207","17.6776695296637","6.94117392116113",NA,"0","6","5","8","18","10","12","12","0","9","2","6","30","2","6","12","16","23","19","32","21","7","4","25","2","14","26","29","32","24","6","3","4","0","2","0","3","6","4"
"319","24","2","1","8","18","0.0416666666666667","0.333333333333333","14.0416666666667","6.625","7.41666666666667","1113.97589147304","44512","22.3854166666667","7.70006604744569","1.25529740612081","0.204124145231932","0.481543412343077","2.6123314036161","0.923721207705668","2.08340579584125","462.156724580303","5274.33995870573","4.55699364967611","3.15076311501349","0.636123386575649","NaN","0","71","1251.20005699629","2123732.5","207","9.29466716353861","NaN",NA,"0","18.3847763108502","232.945437320236","365914.324235196","1.06066017177982","0.77027568965558",NA,"6","14","17","24","15","11","12","14","4","18","2","2","13","2","2","6","12","23","7","10","19","8","2","19","0","6","20","17","28","39","3","4","2","3","2","4","1","2","4"
"320","24","2","15","22","4","0.625","0.916666666666667","12.8333333333333","7.70833333333333","5.125","830.763375686813","37139.5833333333","22.625","9.19503343271286","1.02670540586927","0.49453535504684","0.28232985128664","2.91423293907478","1.94442719108978","1.48360606514052","712.420997196466","7692.7259312693","6.73569337317186","3.86712815649288","0.262237148662249","NaN","0","52","988.399305178591","1988408","274.25","3.40036762718386","NaN",NA,"0","11.3137084989848","283.135811344511","341908.756120694","16.6170093578839","4.80884601541783",NA,"6","10","17","14","13","15","15","15","3","8","1","6","8","6","2","8","12","15","8","22","19","8","5","23","8","8","16","11","28","25","4","4","5","3","1","3","3","2","4"
"321","24","2","5","8","18","0.208333333333333","0.333333333333333","15.3333333333333","7.91666666666667","7.41666666666667","621.092557357539","43651.6666666667","24.90625","9.32433376084323","1.21967455403467","0.414851116999053","0.481543412343077","2.59877340074232","1.74247866100506","2.12473357238577","164.015619473651","6976.91323092699","6.09383709525273","3.48553344425572","0.411168664122933","NaN","0","76.5","548.747317899491","2089580.5","272.375","10.1300999176196","NaN",NA,"0","4.94974746830583","95.6422810196324","355808.354118478","1.59099025766973","3.01241619270745",NA,"6","13","18","16","28","17","21","18","2","15","3","8","18","6","2","6","12","27","4","19","20","6","5","15","6","6","20","22","32","40","3","5","5","3","3","2","4","2","3"
"322","24","2","2","18","8","0.0833333333333333","0.75","10.9166666666667","6.20833333333333","4.70833333333333","1532.62118749986","37563.2083333333","17.5729166666667","7.52173124963018","0.98366108964428","0.28232985128664","0.442325868464691","3.64651908664624","1.74403746137136","2.29326360696159","741.849309259752","9572.90047354767","5.84746283083279","4.2521243601189","0.584665657446927","NaN","0","64.5","1239.90886026542","1960953.5","230.75","11.9861452880585","NaN",NA,"0","13.4350288425444","161.360829073698","360172.617171961","13.4350288425444","0.199103659195792",NA,"6","14","14","16","29","18","13","17","2","9","2","2","25","2","3","2","9","20","10","17","11","8","2","16","2","2","25","24","20","33","1","6","2","3","2","2","1","3","4"
