10 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
002,002,002,002,002,002,002,002,002,002,002,002,002,002,002,002
0.180622 [3865 voxels],0.183655 [5681 voxels],0.167915 [5398 voxels],0.294494 [2257 voxels],0.186975 [2224 voxels],0.27857 [3910 voxels],0.235394 [3444 voxels],0.281226 [2406 voxels],0.198555 [2152 voxels],003,003,0.191301 [4171 voxels],0.169394 [4452 voxels],0.159753 [7753 voxels],0.162874 [7686 voxels],0.267395 [3274 voxels]
003,003,003,003,003,003,003,003,003,005,005,003,003,003,003,003
0.227225 [3865 voxels],0.184865 [5681 voxels],0.20186 [5398 voxels],0.280276 [2257 voxels],0.222546 [2224 voxels],0.236604 [3910 voxels],0.225676 [3444 voxels],0.288109 [2406 voxels],0.259679 [2152 voxels],014,014,0.196204 [4171 voxels],0.162904 [4452 voxels],0.144939 [7753 voxels],0.169205 [7686 voxels],0.182824 [3274 voxels]
005,005,005,005,005,005,005,005,005,017,017,005,005,005,005,005
0.203389 [3865 voxels],0.154371 [5681 voxels],0.167785 [5398 voxels],0.283895 [2257 voxels],0.223884 [2224 voxels],0.218435 [3910 voxels],0.299473 [3444 voxels],0.282423 [2406 voxels],0.264338 [2152 voxels],018,018,0.198306 [4171 voxels],0.204581 [4452 voxels],0.154318 [7753 voxels],0.151786 [7686 voxels],0.285897 [3274 voxels]
014,014,014,014,014,014,014,014,014,019,019,014,014,014,014,014
0.260838 [3865 voxels],0.185966 [5681 voxels],0.145729 [5398 voxels],0.220429 [2257 voxels],0.246178 [2224 voxels],0.237422 [3910 voxels],0.203441 [3444 voxels],0.26402 [2406 voxels],0.331521 [2152 voxels],020,020,0.195612 [4171 voxels],0.158894 [4452 voxels],0.209465 [7753 voxels],0.206437 [7686 voxels],0.348777 [3274 voxels]
017,017,017,017,017,017,017,017,017,021,021,017,017,017,017,017
0.26046 [3865 voxels],0.251495 [5681 voxels],0.254821 [5398 voxels],0.323799 [2257 voxels],0.247684 [2224 voxels],0.299762 [3910 voxels],0.29096 [3444 voxels],0.331045 [2406 voxels],0.330463 [2152 voxels],022,022,0.206126 [4171 voxels],0.16591 [4452 voxels],0.1609 [7753 voxels],0.171084 [7686 voxels],0.321359 [3274 voxels]
018,018,018,018,018,018,018,018,018,024,024,018,018,018,018,018
