10 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
002,002,002,002,002,002,002,002,002,002,002,002,002,002,002,002
0.115594 [3865 voxels],0.1251 [5681 voxels],0.102166 [5398 voxels],0.219807 [2257 voxels],0.123925 [2224 voxels],0.216051 [3910 voxels],0.180476 [3444 voxels],0.215515 [2406 voxels],0.132878 [2152 voxels],003,003,0.129348 [4171 voxels],0.123643 [4452 voxels],0.0936938 [7753 voxels],0.0998929 [7686 voxels],0.193122 [3274 voxels]
003,003,003,003,003,003,003,003,003,005,005,003,003,003,003,003
0.150785 [3865 voxels],0.121285 [5681 voxels],0.135498 [5398 voxels],0.211545 [2257 voxels],0.154571 [2224 voxels],0.176145 [3910 voxels],0.169096 [3444 voxels],0.214404 [2406 voxels],0.198992 [2152 voxels],014,014,0.140123 [4171 voxels],0.113488 [4452 voxels],0.0847522 [7753 voxels],0.101587 [7686 voxels],0.105742 [3274 voxels]
005,005,005,005,005,005,005,005,005,017,017,005,005,005,005,005
0.147113 [3865 voxels],0.100219 [5681 voxels],0.110562 [5398 voxels],0.214639 [2257 voxels],0.158761 [2224 voxels],0.158501 [3910 voxels],0.243471 [3444 voxels],0.217547 [2406 voxels],0.202487 [2152 voxels],018,018,0.152215 [4171 voxels],0.161314 [4452 voxels],0.0951385 [7753 voxels],0.101809 [7686 voxels],0.216547 [3274 voxels]
014,014,014,014,014,014,014,014,014,019,019,014,014,014,014,014
0.187256 [3865 voxels],0.137989 [5681 voxels],0.0924466 [5398 voxels],0.152031 [2257 voxels],0.175438 [2224 voxels],0.173376 [3910 voxels],0.143055 [3444 voxels],0.194872 [2406 voxels],0.271157 [2152 voxels],020,020,0.150442 [4171 voxels],0.105471 [4452 voxels],0.147061 [7753 voxels],0.145844 [7686 voxels],0.276617 [3274 voxels]
017,017,017,017,017,017,017,017,017,021,021,017,017,017,017,017
0.187203 [3865 voxels],0.185143 [5681 voxels],0.188093 [5398 voxels],0.248764 [2257 voxels],0.17305 [2224 voxels],0.23071 [3910 voxels],0.228472 [3444 voxels],0.254713 [2406 voxels],0.260097 [2152 voxels],022,022,0.155769 [4171 voxels],0.116247 [4452 voxels],0.0980952 [7753 voxels],0.101623 [7686 voxels],0.247065 [3274 voxels]
018,018,018,018,018,018,018,018,018,024,024,018,018,018,018,018
