10 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
002,002,002,002,002,002,002,002,002,002,002,002,002,002,002,002
0.44312 [3865 voxels],0.503645 [5681 voxels],0.503987 [5398 voxels],0.515565 [2257 voxels],0.502203 [2224 voxels],0.536013 [3910 voxels],0.499499 [3444 voxels],0.527976 [2406 voxels],0.509757 [2152 voxels],003,003,0.427039 [4171 voxels],0.43179 [4452 voxels],0.473773 [7753 voxels],0.435915 [7686 voxels],0.511847 [3274 voxels]
003,003,003,003,003,003,003,003,003,005,005,003,003,003,003,003
0.513375 [3865 voxels],0.48291 [5681 voxels],0.552966 [5398 voxels],0.491779 [2257 voxels],0.536681 [2224 voxels],0.519184 [3910 voxels],0.548385 [3444 voxels],0.551565 [2406 voxels],0.531749 [2152 voxels],014,014,0.454674 [4171 voxels],0.444263 [4452 voxels],0.441891 [7753 voxels],0.446721 [7686 voxels],0.538891 [3274 voxels]
005,005,005,005,005,005,005,005,005,017,017,005,005,005,005,005
0.494543 [3865 voxels],0.519252 [5681 voxels],0.484486 [5398 voxels],0.507935 [2257 voxels],0.501331 [2224 voxels],0.500728 [3910 voxels],0.498314 [3444 voxels],0.50546 [2406 voxels],0.488343 [2152 voxels],018,018,0.483597 [4171 voxels],0.45917 [4452 voxels],0.504652 [7753 voxels],0.424514 [7686 voxels],0.590331 [3274 voxels]
014,014,014,014,014,014,014,014,014,019,019,014,014,014,014,014
0.518712 [3865 voxels],0.523657 [5681 voxels],0.538822 [5398 voxels],0.556218 [2257 voxels],0.576875 [2224 voxels],0.548804 [3910 voxels],0.543827 [3444 voxels],0.570347 [2406 voxels],0.536136 [2152 voxels],020,020,0.463707 [4171 voxels],0.463631 [4452 voxels],0.496279 [7753 voxels],0.468539 [7686 voxels],0.601872 [3274 voxels]
017,017,017,017,017,017,017,017,017,021,021,017,017,017,017,017
0.484427 [3865 voxels],0.534584 [5681 voxels],0.542536 [5398 voxels],0.529613 [2257 voxels],0.555349 [2224 voxels],0.56323 [3910 voxels],0.558056 [3444 voxels],0.550826 [2406 voxels],0.497531 [2152 voxels],022,022,0.443796 [4171 voxels],0.417242 [4452 voxels],0.44236 [7753 voxels],0.437525 [7686 voxels],0.54805 [3274 voxels]
018,018,018,018,018,018,018,018,018,024,024,018,018,018,018,018
