10 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
002,002,002,002,002,002,002,002,002,002,002,002,002,002,002,002
0.499909 [3865 voxels],0.555956 [5681 voxels],0.558025 [5398 voxels],0.560658 [2257 voxels],0.556421 [2224 voxels],0.582091 [3910 voxels],0.550941 [3444 voxels],0.570802 [2406 voxels],0.560838 [2152 voxels],003,003,0.489402 [4171 voxels],0.490353 [4452 voxels],0.530695 [7753 voxels],0.493331 [7686 voxels],0.554519 [3274 voxels]
003,003,003,003,003,003,003,003,003,005,005,003,003,003,003,003
0.55928 [3865 voxels],0.535162 [5681 voxels],0.598648 [5398 voxels],0.539529 [2257 voxels],0.58198 [2224 voxels],0.566875 [3910 voxels],0.594023 [3444 voxels],0.595046 [2406 voxels],0.572337 [2152 voxels],014,014,0.516732 [4171 voxels],0.499628 [4452 voxels],0.498309 [7753 voxels],0.499846 [7686 voxels],0.583645 [3274 voxels]
005,005,005,005,005,005,005,005,005,017,017,005,005,005,005,005
0.54392 [3865 voxels],0.575159 [5681 voxels],0.540402 [5398 voxels],0.555126 [2257 voxels],0.554001 [2224 voxels],0.547504 [3910 voxels],0.546069 [3444 voxels],0.548725 [2406 voxels],0.535507 [2152 voxels],018,018,0.534557 [4171 voxels],0.516365 [4452 voxels],0.55473 [7753 voxels],0.479872 [7686 voxels],0.626636 [3274 voxels]
014,014,014,014,014,014,014,014,014,019,019,014,014,014,014,014
0.56052 [3865 voxels],0.573751 [5681 voxels],0.590607 [5398 voxels],0.600129 [2257 voxels],0.621236 [2224 voxels],0.593274 [3910 voxels],0.591611 [3444 voxels],0.609618 [2406 voxels],0.576294 [2152 voxels],020,020,0.519844 [4171 voxels],0.519565 [4452 voxels],0.546833 [7753 voxels],0.519653 [7686 voxels],0.639509 [3274 voxels]
017,017,017,017,017,017,017,017,017,021,021,017,017,017,017,017
0.533428 [3865 voxels],0.583967 [5681 voxels],0.586587 [5398 voxels],0.573656 [2257 voxels],0.601808 [2224 voxels],0.607249 [3910 voxels],0.604204 [3444 voxels],0.593554 [2406 voxels],0.537696 [2152 voxels],022,022,0.50139 [4171 voxels],0.478587 [4452 voxels],0.496757 [7753 voxels],0.494643 [7686 voxels],0.589263 [3274 voxels]
018,018,018,018,018,018,018,018,018,024,024,018,018,018,018,018
