0 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,10 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,11 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,12 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,13 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,14 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,15 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,16 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,17 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,18 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,19 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,1 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,20 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,21 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,22 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,23 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,24 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,25 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,26 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,27 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,28 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,29 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,2 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,30 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,31 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,32 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,33 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,34 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,35 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,36 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,37 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,38 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,39 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,3 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,40 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,41 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,42 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,43 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,44 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,45 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,46 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,47 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,4 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,5 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,6 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,7 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,8 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,9 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz
,,0.262914 [1979 voxels],0.294316 [8826 voxels],0.307377 [6190 voxels],0.316304 [1665 voxels],0.318524 [4262 voxels],0.35337 [4819 voxels],0.363212 [18464 voxels],0.324221 [5640 voxels],0.308355 [5153 voxels],0.306279 [79800 voxels],0.286082 [4273 voxels],0.302898 [6557 voxels],0.30501 [42295 voxels],0.317535 [16349 voxels],0.356213 [3860 voxels],0.324958 [4695 voxels],0.375389 [5733 voxels],0.645085 [5822 voxels],0.302937 [13488 voxels],0.362512 [12635 voxels],0.325308 [13909 voxels],0.392622 [10811 voxels],0.327505 [21586 voxels],0.38557 [2746 voxels],0.438053 [14037 voxels],0.510042 [4974 voxels],0.516139 [2568 voxels],0.419083 [12617 voxels],0.312411 [1547 voxels],0.383822 [5553 voxels],0.371278 [5066 voxels],0.326662 [17093 voxels],0.357139 [4478 voxels],0.339927 [1821 voxels],0.335312 [8200 voxels],0.338936 [3410 voxels],0.402865 [2076 voxels],0.474962 [1349 voxels],0.393363 [2056 voxels],0.316601 [275 voxels],0.316062 [15981 voxels],0.30781 [2377 voxels],0.312454 [3846 voxels],0.361794 [21246 voxels],0.360676 [23457 voxels],0.29207 [1096 voxels]
,,0.280772 [1979 voxels],0.299309 [8826 voxels],0.297669 [6190 voxels],0.289662 [1665 voxels],0.415143 [4262 voxels],0.335307 [4819 voxels],0.382347 [18464 voxels],0.36533 [5640 voxels],0.300231 [5153 voxels],0.337469 [79800 voxels],0.301777 [4273 voxels],0.302746 [6557 voxels],0.321931 [42295 voxels],0.320881 [16349 voxels],0.400684 [3860 voxels],0.473815 [4695 voxels],0.403948 [5733 voxels],0.667123 [5822 voxels],0.378162 [13488 voxels],0.399212 [12635 voxels],0.345146 [13909 voxels],0.441814 [10811 voxels],0.356069 [21586 voxels],0.371763 [2746 voxels],0.430434 [14037 voxels],0.519221 [4974 voxels],0.548237 [2568 voxels],0.503579 [12617 voxels],0.326012 [1547 voxels],0.417804 [5553 voxels],0.38962 [5066 voxels],0.359187 [17093 voxels],0.398824 [4478 voxels],0.346427 [1821 voxels],0.345452 [8200 voxels],0.371188 [3410 voxels],0.38781 [2076 voxels],0.466751 [1349 voxels],0.409831 [2056 voxels],0.340135 [275 voxels],0.350462 [15981 voxels],0.322674 [2377 voxels],0.334085 [3846 voxels],0.38353 [21246 voxels],0.346869 [23457 voxels],0.312594 [1096 voxels]
,,0.321687 [1979 voxels],0.289053 [8826 voxels],0.282419 [6190 voxels],0.300649 [1665 voxels],0.302342 [4262 voxels],0.316284 [4819 voxels],0.360106 [18464 voxels],0.34385 [5640 voxels],0.288614 [5153 voxels],0.381755 [79800 voxels],0.274535 [4273 voxels],0.322264 [6557 voxels],0.312417 [42295 voxels],0.30986 [16349 voxels],0.353015 [3860 voxels],0.412349 [4695 voxels],0.407903 [5733 voxels],0.620762 [5822 voxels],0.394938 [13488 voxels],0.434085 [12635 voxels],0.337374 [13909 voxels],0.443516 [10811 voxels],0.326694 [21586 voxels],0.344329 [2746 voxels],0.439444 [14037 voxels],0.561981 [4974 voxels],0.459037 [2568 voxels],0.447176 [12617 voxels],0.36488 [1547 voxels],0.41095 [5553 voxels],0.378639 [5066 voxels],0.399699 [17093 voxels],0.340292 [4478 voxels],0.367019 [1821 voxels],0.339237 [8200 voxels],0.332862 [3410 voxels],0.351923 [2076 voxels],0.458104 [1349 voxels],0.337894 [2056 voxels],0.283126 [275 voxels],0.370114 [15981 voxels],0.344004 [2377 voxels],0.323747 [3846 voxels],0.390819 [21246 voxels],0.361707 [23457 voxels],0.310526 [1096 voxels]
,,0.277072 [1979 voxels],0.283563 [8826 voxels],0.294705 [6190 voxels],0.339361 [1665 voxels],0.332936 [4262 voxels],0.296407 [4819 voxels],0.355901 [18464 voxels],0.349859 [5640 voxels],0.299338 [5153 voxels],0.322586 [79800 voxels],0.291698 [4273 voxels],0.278558 [6557 voxels],0.305073 [42295 voxels],0.296947 [16349 voxels],0.39132 [3860 voxels],0.329397 [4695 voxels],0.407362 [5733 voxels],0.691377 [5822 voxels],0.359616 [13488 voxels],0.414587 [12635 voxels],0.335424 [13909 voxels],0.44209 [10811 voxels],0.340073 [21586 voxels],0.3268 [2746 voxels],0.417859 [14037 voxels],0.620538 [4974 voxels],0.533491 [2568 voxels],0.485832 [12617 voxels],0.414059 [1547 voxels],0.408373 [5553 voxels],0.360109 [5066 voxels],0.352725 [17093 voxels],0.34337 [4478 voxels],0.334793 [1821 voxels],0.33355 [8200 voxels],0.358209 [3410 voxels],0.348743 [2076 voxels],0.437419 [1349 voxels],0.351795 [2056 voxels],0.293782 [275 voxels],0.340825 [15981 voxels],0.330915 [2377 voxels],0.322241 [3846 voxels],0.366472 [21246 voxels],0.351168 [23457 voxels],0.294545 [1096 voxels]
,,0.304429 [1979 voxels],0.334712 [8826 voxels],0.310068 [6190 voxels],0.336249 [1665 voxels],0.401699 [4262 voxels],0.389812 [4819 voxels],0.413742 [18464 voxels],0.383712 [5640 voxels],0.331325 [5153 voxels],0.369724 [79800 voxels],0.307797 [4273 voxels],0.299471 [6557 voxels],0.321646 [42295 voxels],0.33235 [16349 voxels],0.461086 [3860 voxels],0.473479 [4695 voxels],0.564657 [5733 voxels],0.735489 [5822 voxels],0.449699 [13488 voxels],0.518538 [12635 voxels],0.389031 [13909 voxels],0.565936 [10811 voxels],0.404924 [21586 voxels],0.394924 [2746 voxels],0.506857 [14037 voxels],0.648783 [4974 voxels],0.694406 [2568 voxels],0.562604 [12617 voxels],0.330333 [1547 voxels],0.525129 [5553 voxels],0.466043 [5066 voxels],0.481851 [17093 voxels],0.407605 [4478 voxels],0.416341 [1821 voxels],0.384211 [8200 voxels],0.417062 [3410 voxels],0.40646 [2076 voxels],0.558137 [1349 voxels],0.412938 [2056 voxels],0.531698 [275 voxels],0.374023 [15981 voxels],0.351449 [2377 voxels],0.332376 [3846 voxels],0.417376 [21246 voxels],0.368578 [23457 voxels],0.287739 [1096 voxels]
,,0.265583 [1979 voxels],0.273774 [8826 voxels],0.293474 [6190 voxels],0.294688 [1665 voxels],0.300093 [4262 voxels],0.341251 [4819 voxels],0.349125 [18464 voxels],0.335291 [5640 voxels],0.27246 [5153 voxels],0.28018 [79800 voxels],0.271334 [4273 voxels],0.295926 [6557 voxels],0.290119 [42295 voxels],0.311172 [16349 voxels],0.394087 [3860 voxels],0.326805 [4695 voxels],0.357131 [5733 voxels],0.696501 [5822 voxels],0.319262 [13488 voxels],0.373583 [12635 voxels],0.330882 [13909 voxels],0.421627 [10811 voxels],0.33224 [21586 voxels],0.372302 [2746 voxels],0.427456 [14037 voxels],0.566776 [4974 voxels],0.531634 [2568 voxels],0.498648 [12617 voxels],0.338593 [1547 voxels],0.38244 [5553 voxels],0.381446 [5066 voxels],0.299727 [17093 voxels],0.348212 [4478 voxels],0.32116 [1821 voxels],0.340908 [8200 voxels],0.35616 [3410 voxels],0.365073 [2076 voxels],0.481075 [1349 voxels],0.37879 [2056 voxels],0.358891 [275 voxels],0.305533 [15981 voxels],0.295313 [2377 voxels],0.293137 [3846 voxels],0.337674 [21246 voxels],0.328512 [23457 voxels],0.285507 [1096 voxels]
,,0.294755 [1979 voxels],0.296921 [8826 voxels],0.293613 [6190 voxels],0.288314 [1665 voxels],0.331249 [4262 voxels],0.308895 [4819 voxels],0.373546 [18464 voxels],0.336991 [5640 voxels],0.293836 [5153 voxels],0.300934 [79800 voxels],0.289846 [4273 voxels],0.300672 [6557 voxels],0.30927 [42295 voxels],0.311931 [16349 voxels],0.373343 [3860 voxels],0.309706 [4695 voxels],0.391317 [5733 voxels],0.588412 [5822 voxels],0.318129 [13488 voxels],0.353933 [12635 voxels],0.31347 [13909 voxels],0.410198 [10811 voxels],0.354659 [21586 voxels],0.35892 [2746 voxels],0.400759 [14037 voxels],0.553506 [4974 voxels],0.524894 [2568 voxels],0.469764 [12617 voxels],0.331883 [1547 voxels],0.406736 [5553 voxels],0.372881 [5066 voxels],0.328637 [17093 voxels],0.344103 [4478 voxels],0.304302 [1821 voxels],0.333658 [8200 voxels],0.341948 [3410 voxels],0.373404 [2076 voxels],0.429671 [1349 voxels],0.355723 [2056 voxels],0.342145 [275 voxels],0.329073 [15981 voxels],0.309452 [2377 voxels],0.330211 [3846 voxels],0.375964 [21246 voxels],0.35162 [23457 voxels],0.293666 [1096 voxels]
,,0.239561 [1979 voxels],0.264283 [8826 voxels],0.273487 [6190 voxels],0.254213 [1665 voxels],0.345487 [4262 voxels],0.298399 [4819 voxels],0.341388 [18464 voxels],0.320955 [5640 voxels],0.27699 [5153 voxels],0.310232 [79800 voxels],0.262415 [4273 voxels],0.2788 [6557 voxels],0.29139 [42295 voxels],0.310633 [16349 voxels],0.37855 [3860 voxels],0.379315 [4695 voxels],0.363572 [5733 voxels],0.678549 [5822 voxels],0.372184 [13488 voxels],0.403363 [12635 voxels],0.347117 [13909 voxels],0.450503 [10811 voxels],0.330733 [21586 voxels],0.358082 [2746 voxels],0.483614 [14037 voxels],0.61867 [4974 voxels],0.572702 [2568 voxels],0.520685 [12617 voxels],0.353672 [1547 voxels],0.398543 [5553 voxels],0.359191 [5066 voxels],0.343936 [17093 voxels],0.3623 [4478 voxels],0.350524 [1821 voxels],0.339437 [8200 voxels],0.346791 [3410 voxels],0.361179 [2076 voxels],0.50455 [1349 voxels],0.351934 [2056 voxels],0.316764 [275 voxels],0.315492 [15981 voxels],0.295632 [2377 voxels],0.315186 [3846 voxels],0.33574 [21246 voxels],0.359676 [23457 voxels],0.28429 [1096 voxels]
,,0.287369 [1979 voxels],0.279274 [8826 voxels],0.302137 [6190 voxels],0.303296 [1665 voxels],0.339539 [4262 voxels],0.312302 [4819 voxels],0.352136 [18464 voxels],0.332493 [5640 voxels],0.272025 [5153 voxels],0.293243 [79800 voxels],0.280777 [4273 voxels],0.288255 [6557 voxels],0.307301 [42295 voxels],0.327514 [16349 voxels],0.418227 [3860 voxels],0.333891 [4695 voxels],0.354281 [5733 voxels],0.598158 [5822 voxels],0.319107 [13488 voxels],0.353483 [12635 voxels],0.326045 [13909 voxels],0.42525 [10811 voxels],0.353303 [21586 voxels],0.391256 [2746 voxels],0.39888 [14037 voxels],0.53606 [4974 voxels],0.523928 [2568 voxels],0.49658 [12617 voxels],0.345221 [1547 voxels],0.400667 [5553 voxels],0.358278 [5066 voxels],0.320174 [17093 voxels],0.364612 [4478 voxels],0.295593 [1821 voxels],0.332648 [8200 voxels],0.339406 [3410 voxels],0.3837 [2076 voxels],0.462276 [1349 voxels],0.367656 [2056 voxels],0.413911 [275 voxels],0.310636 [15981 voxels],0.301958 [2377 voxels],0.294366 [3846 voxels],0.347655 [21246 voxels],0.345175 [23457 voxels],0.286309 [1096 voxels]
