0 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,10 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,11 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,12 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,13 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,14 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,15 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,16 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,17 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,18 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,19 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,1 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,20 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,21 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,22 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,23 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,24 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,25 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,26 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,27 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,28 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,29 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,2 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,30 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,31 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,32 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,33 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,34 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,35 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,36 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,37 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,38 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,39 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,3 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,40 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,41 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,42 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,43 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,44 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,45 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,46 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,47 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,4 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,5 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,6 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,7 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,8 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,9 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz
,,0.321731 [1979 voxels],0.35482 [8826 voxels],0.370896 [6190 voxels],0.373094 [1665 voxels],0.383906 [4262 voxels],0.417668 [4819 voxels],0.422446 [18464 voxels],0.381572 [5640 voxels],0.369798 [5153 voxels],0.3629 [79800 voxels],0.346241 [4273 voxels],0.364635 [6557 voxels],0.362904 [42295 voxels],0.380596 [16349 voxels],0.409008 [3860 voxels],0.380819 [4695 voxels],0.427863 [5733 voxels],0.684671 [5822 voxels],0.356735 [13488 voxels],0.415783 [12635 voxels],0.381988 [13909 voxels],0.447618 [10811 voxels],0.385205 [21586 voxels],0.449029 [2746 voxels],0.48804 [14037 voxels],0.551935 [4974 voxels],0.56306 [2568 voxels],0.472139 [12617 voxels],0.368826 [1547 voxels],0.43983 [5553 voxels],0.434371 [5066 voxels],0.384426 [17093 voxels],0.421126 [4478 voxels],0.398417 [1821 voxels],0.389154 [8200 voxels],0.390465 [3410 voxels],0.453327 [2076 voxels],0.530225 [1349 voxels],0.451648 [2056 voxels],0.361702 [275 voxels],0.373359 [15981 voxels],0.365869 [2377 voxels],0.373651 [3846 voxels],0.419619 [21246 voxels],0.409925 [23457 voxels],0.352233 [1096 voxels]
,,0.346313 [1979 voxels],0.363879 [8826 voxels],0.36506 [6190 voxels],0.351234 [1665 voxels],0.476371 [4262 voxels],0.401925 [4819 voxels],0.445386 [18464 voxels],0.428058 [5640 voxels],0.365024 [5153 voxels],0.394904 [79800 voxels],0.364283 [4273 voxels],0.363991 [6557 voxels],0.383784 [42295 voxels],0.388526 [16349 voxels],0.459724 [3860 voxels],0.523524 [4695 voxels],0.45522 [5733 voxels],0.701432 [5822 voxels],0.431272 [13488 voxels],0.448978 [12635 voxels],0.401786 [13909 voxels],0.495824 [10811 voxels],0.412085 [21586 voxels],0.429511 [2746 voxels],0.478535 [14037 voxels],0.560262 [4974 voxels],0.592988 [2568 voxels],0.553755 [12617 voxels],0.385667 [1547 voxels],0.472159 [5553 voxels],0.443361 [5066 voxels],0.417701 [17093 voxels],0.464438 [4478 voxels],0.40422 [1821 voxels],0.405487 [8200 voxels],0.42979 [3410 voxels],0.440439 [2076 voxels],0.52535 [1349 voxels],0.473517 [2056 voxels],0.376244 [275 voxels],0.407884 [15981 voxels],0.382685 [2377 voxels],0.392501 [3846 voxels],0.444062 [21246 voxels],0.401116 [23457 voxels],0.374794 [1096 voxels]
,,0.381256 [1979 voxels],0.351892 [8826 voxels],0.344705 [6190 voxels],0.365369 [1665 voxels],0.364908 [4262 voxels],0.381821 [4819 voxels],0.422669 [18464 voxels],0.40015 [5640 voxels],0.347846 [5153 voxels],0.437002 [79800 voxels],0.334039 [4273 voxels],0.388107 [6557 voxels],0.371687 [42295 voxels],0.378034 [16349 voxels],0.412998 [3860 voxels],0.460782 [4695 voxels],0.45125 [5733 voxels],0.657485 [5822 voxels],0.442866 [13488 voxels],0.480721 [12635 voxels],0.394298 [13909 voxels],0.4942 [10811 voxels],0.375991 [21586 voxels],0.39954 [2746 voxels],0.490959 [14037 voxels],0.601853 [4974 voxels],0.509692 [2568 voxels],0.497441 [12617 voxels],0.424825 [1547 voxels],0.474171 [5553 voxels],0.441725 [5066 voxels],0.452897 [17093 voxels],0.409356 [4478 voxels],0.423387 [1821 voxels],0.397567 [8200 voxels],0.393737 [3410 voxels],0.402077 [2076 voxels],0.518628 [1349 voxels],0.397197 [2056 voxels],0.35065 [275 voxels],0.426208 [15981 voxels],0.403716 [2377 voxels],0.382733 [3846 voxels],0.447722 [21246 voxels],0.415765 [23457 voxels],0.374244 [1096 voxels]
,,0.339475 [1979 voxels],0.345523 [8826 voxels],0.36245 [6190 voxels],0.393543 [1665 voxels],0.397277 [4262 voxels],0.362914 [4819 voxels],0.419283 [18464 voxels],0.411613 [5640 voxels],0.362275 [5153 voxels],0.381381 [79800 voxels],0.358112 [4273 voxels],0.347016 [6557 voxels],0.370878 [42295 voxels],0.365174 [16349 voxels],0.448609 [3860 voxels],0.386986 [4695 voxels],0.457335 [5733 voxels],0.725767 [5822 voxels],0.408973 [13488 voxels],0.461058 [12635 voxels],0.392991 [13909 voxels],0.494557 [10811 voxels],0.398004 [21586 voxels],0.387409 [2746 voxels],0.470807 [14037 voxels],0.651604 [4974 voxels],0.582777 [2568 voxels],0.53909 [12617 voxels],0.463381 [1547 voxels],0.468248 [5553 voxels],0.424335 [5066 voxels],0.409182 [17093 voxels],0.407772 [4478 voxels],0.393854 [1821 voxels],0.394474 [8200 voxels],0.420815 [3410 voxels],0.396843 [2076 voxels],0.494292 [1349 voxels],0.413781 [2056 voxels],0.328065 [275 voxels],0.397572 [15981 voxels],0.393043 [2377 voxels],0.382854 [3846 voxels],0.425875 [21246 voxels],0.404386 [23457 voxels],0.361374 [1096 voxels]
,,0.3692 [1979 voxels],0.395431 [8826 voxels],0.374557 [6190 voxels],0.397395 [1665 voxels],0.461648 [4262 voxels],0.4482 [4819 voxels],0.472664 [18464 voxels],0.440911 [5640 voxels],0.389904 [5153 voxels],0.423836 [79800 voxels],0.365641 [4273 voxels],0.356153 [6557 voxels],0.379631 [42295 voxels],0.394541 [16349 voxels],0.518341 [3860 voxels],0.519613 [4695 voxels],0.603832 [5733 voxels],0.768585 [5822 voxels],0.495345 [13488 voxels],0.562344 [12635 voxels],0.444917 [13909 voxels],0.611113 [10811 voxels],0.456823 [21586 voxels],0.456163 [2746 voxels],0.556543 [14037 voxels],0.685402 [4974 voxels],0.732894 [2568 voxels],0.608462 [12617 voxels],0.384481 [1547 voxels],0.57564 [5553 voxels],0.520576 [5066 voxels],0.530757 [17093 voxels],0.468256 [4478 voxels],0.469148 [1821 voxels],0.440281 [8200 voxels],0.470832 [3410 voxels],0.460476 [2076 voxels],0.614727 [1349 voxels],0.470399 [2056 voxels],0.585289 [275 voxels],0.42929 [15981 voxels],0.411192 [2377 voxels],0.389593 [3846 voxels],0.474342 [21246 voxels],0.422668 [23457 voxels],0.350648 [1096 voxels]
,,0.330853 [1979 voxels],0.333009 [8826 voxels],0.353186 [6190 voxels],0.354212 [1665 voxels],0.363756 [4262 voxels],0.398202 [4819 voxels],0.409402 [18464 voxels],0.394821 [5640 voxels],0.330989 [5153 voxels],0.334992 [79800 voxels],0.328403 [4273 voxels],0.358032 [6557 voxels],0.346389 [42295 voxels],0.372357 [16349 voxels],0.448912 [3860 voxels],0.381705 [4695 voxels],0.410904 [5733 voxels],0.730258 [5822 voxels],0.37057 [13488 voxels],0.425956 [12635 voxels],0.384402 [13909 voxels],0.472037 [10811 voxels],0.387093 [21586 voxels],0.431385 [2746 voxels],0.47249 [14037 voxels],0.600029 [4974 voxels],0.574985 [2568 voxels],0.548519 [12617 voxels],0.396043 [1547 voxels],0.439576 [5553 voxels],0.439307 [5066 voxels],0.358807 [17093 voxels],0.412026 [4478 voxels],0.379396 [1821 voxels],0.394013 [8200 voxels],0.409167 [3410 voxels],0.414348 [2076 voxels],0.537234 [1349 voxels],0.431974 [2056 voxels],0.400331 [275 voxels],0.36125 [15981 voxels],0.350877 [2377 voxels],0.350941 [3846 voxels],0.394555 [21246 voxels],0.380875 [23457 voxels],0.344979 [1096 voxels]
,,0.355125 [1979 voxels],0.361047 [8826 voxels],0.35693 [6190 voxels],0.35115 [1665 voxels],0.393845 [4262 voxels],0.376904 [4819 voxels],0.434942 [18464 voxels],0.395045 [5640 voxels],0.354138 [5153 voxels],0.356133 [79800 voxels],0.348604 [4273 voxels],0.365325 [6557 voxels],0.368504 [42295 voxels],0.374573 [16349 voxels],0.429106 [3860 voxels],0.362649 [4695 voxels],0.445662 [5733 voxels],0.627827 [5822 voxels],0.373878 [13488 voxels],0.406615 [12635 voxels],0.372921 [13909 voxels],0.465665 [10811 voxels],0.410804 [21586 voxels],0.418093 [2746 voxels],0.451887 [14037 voxels],0.592918 [4974 voxels],0.572401 [2568 voxels],0.52072 [12617 voxels],0.389473 [1547 voxels],0.467035 [5553 voxels],0.438349 [5066 voxels],0.387536 [17093 voxels],0.412175 [4478 voxels],0.363716 [1821 voxels],0.391773 [8200 voxels],0.400938 [3410 voxels],0.428405 [2076 voxels],0.490435 [1349 voxels],0.419145 [2056 voxels],0.384215 [275 voxels],0.384269 [15981 voxels],0.369384 [2377 voxels],0.391284 [3846 voxels],0.433074 [21246 voxels],0.405956 [23457 voxels],0.356737 [1096 voxels]
,,0.297378 [1979 voxels],0.32121 [8826 voxels],0.334468 [6190 voxels],0.307695 [1665 voxels],0.404281 [4262 voxels],0.360148 [4819 voxels],0.401151 [18464 voxels],0.378098 [5640 voxels],0.335188 [5153 voxels],0.365593 [79800 voxels],0.320463 [4273 voxels],0.338333 [6557 voxels],0.347291 [42295 voxels],0.370288 [16349 voxels],0.429898 [3860 voxels],0.426134 [4695 voxels],0.410323 [5733 voxels],0.711754 [5822 voxels],0.419312 [13488 voxels],0.449612 [12635 voxels],0.403219 [13909 voxels],0.499345 [10811 voxels],0.380416 [21586 voxels],0.401595 [2746 voxels],0.529607 [14037 voxels],0.652578 [4974 voxels],0.614147 [2568 voxels],0.562213 [12617 voxels],0.406053 [1547 voxels],0.45391 [5553 voxels],0.420712 [5066 voxels],0.397645 [17093 voxels],0.427042 [4478 voxels],0.403387 [1821 voxels],0.39507 [8200 voxels],0.401237 [3410 voxels],0.409813 [2076 voxels],0.559033 [1349 voxels],0.407165 [2056 voxels],0.350861 [275 voxels],0.370667 [15981 voxels],0.353366 [2377 voxels],0.3724 [3846 voxels],0.390915 [21246 voxels],0.410783 [23457 voxels],0.347524 [1096 voxels]
,,0.341469 [1979 voxels],0.342396 [8826 voxels],0.366121 [6190 voxels],0.356461 [1665 voxels],0.407287 [4262 voxels],0.375359 [4819 voxels],0.415327 [18464 voxels],0.387946 [5640 voxels],0.33666 [5153 voxels],0.349649 [79800 voxels],0.344097 [4273 voxels],0.351313 [6557 voxels],0.366229 [42295 voxels],0.389647 [16349 voxels],0.469079 [3860 voxels],0.385251 [4695 voxels],0.406165 [5733 voxels],0.634438 [5822 voxels],0.375249 [13488 voxels],0.40623 [12635 voxels],0.385642 [13909 voxels],0.476423 [10811 voxels],0.408549 [21586 voxels],0.448053 [2746 voxels],0.452229 [14037 voxels],0.576588 [4974 voxels],0.570688 [2568 voxels],0.547295 [12617 voxels],0.393874 [1547 voxels],0.457229 [5553 voxels],0.417546 [5066 voxels],0.377314 [17093 voxels],0.42832 [4478 voxels],0.358996 [1821 voxels],0.394444 [8200 voxels],0.402768 [3410 voxels],0.433075 [2076 voxels],0.520547 [1349 voxels],0.425723 [2056 voxels],0.456763 [275 voxels],0.367771 [15981 voxels],0.361994 [2377 voxels],0.356794 [3846 voxels],0.406916 [21246 voxels],0.395322 [23457 voxels],0.355708 [1096 voxels]
