0 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,10 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,11 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,12 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,13 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,14 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,15 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,16 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,17 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,18 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,19 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,1 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,20 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,21 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,22 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,23 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,24 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,25 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,26 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,27 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,28 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,29 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,2 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,30 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,31 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,32 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,33 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,34 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,35 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,36 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,37 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,38 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,39 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,3 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,40 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,41 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,42 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,43 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,44 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,45 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,46 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,47 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,4 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,5 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,6 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,7 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,8 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,9 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz
,,0.125327 [1979 voxels],0.129305 [8826 voxels],0.0969706 [6190 voxels],0.129296 [1665 voxels],0.0855349 [4262 voxels],0.126639 [4819 voxels],0.223465 [18464 voxels],0.231617 [5640 voxels],0.164917 [5153 voxels],0.176281 [79800 voxels],0.141155 [4273 voxels],0.147953 [6557 voxels],0.185139 [42295 voxels],0.125964 [16349 voxels],0.247637 [3860 voxels],0.21532 [4695 voxels],0.273783 [5733 voxels],0.364175 [5822 voxels],0.198474 [13488 voxels],0.227795 [12635 voxels],0.173245 [13909 voxels],0.197948 [10811 voxels],0.166867 [21586 voxels],0.188788 [2746 voxels],0.239592 [14037 voxels],0.261246 [4974 voxels],0.258908 [2568 voxels],0.230051 [12617 voxels],0.106335 [1547 voxels],0.136614 [5553 voxels],0.132128 [5066 voxels],0.169383 [17093 voxels],0.131985 [4478 voxels],0.247419 [1821 voxels],0.271656 [8200 voxels],0.2677 [3410 voxels],0.351792 [2076 voxels],0.326227 [1349 voxels],0.223563 [2056 voxels],0.272422 [275 voxels],0.168854 [15981 voxels],0.167578 [2377 voxels],0.159652 [3846 voxels],0.198669 [21246 voxels],0.214979 [23457 voxels],0.127346 [1096 voxels]
,,0.0909394 [1979 voxels],0.0990786 [8826 voxels],0.0840739 [6190 voxels],0.0762636 [1665 voxels],0.0731104 [4262 voxels],0.0795602 [4819 voxels],0.172887 [18464 voxels],0.173412 [5640 voxels],0.119756 [5153 voxels],0.166328 [79800 voxels],0.117316 [4273 voxels],0.135029 [6557 voxels],0.152504 [42295 voxels],0.0950008 [16349 voxels],0.233168 [3860 voxels],0.294439 [4695 voxels],0.271443 [5733 voxels],0.365496 [5822 voxels],0.238087 [13488 voxels],0.266333 [12635 voxels],0.159483 [13909 voxels],0.206993 [10811 voxels],0.201491 [21586 voxels],0.220209 [2746 voxels],0.243045 [14037 voxels],0.283817 [4974 voxels],0.280671 [2568 voxels],0.266109 [12617 voxels],0.101635 [1547 voxels],0.149708 [5553 voxels],0.168073 [5066 voxels],0.175808 [17093 voxels],0.118689 [4478 voxels],0.191175 [1821 voxels],0.183 [8200 voxels],0.208078 [3410 voxels],0.246268 [2076 voxels],0.255203 [1349 voxels],0.179096 [2056 voxels],0.408866 [275 voxels],0.175699 [15981 voxels],0.138283 [2377 voxels],0.170517 [3846 voxels],0.181605 [21246 voxels],0.194177 [23457 voxels],0.132222 [1096 voxels]
,,0.154894 [1979 voxels],0.123089 [8826 voxels],0.135938 [6190 voxels],0.0814914 [1665 voxels],0.117208 [4262 voxels],0.0909252 [4819 voxels],0.197797 [18464 voxels],0.239847 [5640 voxels],0.180311 [5153 voxels],0.193208 [79800 voxels],0.187601 [4273 voxels],0.121457 [6557 voxels],0.185768 [42295 voxels],0.0949396 [16349 voxels],0.196009 [3860 voxels],0.323494 [4695 voxels],0.41252 [5733 voxels],0.310901 [5822 voxels],0.328282 [13488 voxels],0.314443 [12635 voxels],0.150735 [13909 voxels],0.263124 [10811 voxels],0.275392 [21586 voxels],0.246926 [2746 voxels],0.230864 [14037 voxels],0.341335 [4974 voxels],0.229672 [2568 voxels],0.292198 [12617 voxels],0.13759 [1547 voxels],0.12889 [5553 voxels],0.131187 [5066 voxels],0.257928 [17093 voxels],0.113522 [4478 voxels],0.188072 [1821 voxels],0.225664 [8200 voxels],0.192428 [3410 voxels],0.251989 [2076 voxels],0.247561 [1349 voxels],0.20701 [2056 voxels],0.403112 [275 voxels],0.199798 [15981 voxels],0.145215 [2377 voxels],0.161589 [3846 voxels],0.254557 [21246 voxels],0.228394 [23457 voxels],0.129358 [1096 voxels]
,,0.115202 [1979 voxels],0.115082 [8826 voxels],0.075614 [6190 voxels],0.169712 [1665 voxels],0.0661124 [4262 voxels],0.0605585 [4819 voxels],0.184136 [18464 voxels],0.156165 [5640 voxels],0.118475 [5153 voxels],0.155095 [79800 voxels],0.095096 [4273 voxels],0.0698672 [6557 voxels],0.0953913 [42295 voxels],0.0620791 [16349 voxels],0.243393 [3860 voxels],0.224939 [4695 voxels],0.29135 [5733 voxels],0.396624 [5822 voxels],0.262005 [13488 voxels],0.283614 [12635 voxels],0.150244 [13909 voxels],0.224 [10811 voxels],0.18399 [21586 voxels],0.148694 [2746 voxels],0.221036 [14037 voxels],0.363237 [4974 voxels],0.26196 [2568 voxels],0.26885 [12617 voxels],0.258069 [1547 voxels],0.14773 [5553 voxels],0.105135 [5066 voxels],0.175456 [17093 voxels],0.11605 [4478 voxels],0.168715 [1821 voxels],0.177871 [8200 voxels],0.176433 [3410 voxels],0.354325 [2076 voxels],0.26085 [1349 voxels],0.156702 [2056 voxels],0.426959 [275 voxels],0.191485 [15981 voxels],0.130528 [2377 voxels],0.158615 [3846 voxels],0.190497 [21246 voxels],0.224135 [23457 voxels],0.0758297 [1096 voxels]
,,0.127353 [1979 voxels],0.172301 [8826 voxels],0.121534 [6190 voxels],0.0953393 [1665 voxels],0.13797 [4262 voxels],0.15866 [4819 voxels],0.245648 [18464 voxels],0.257021 [5640 voxels],0.190808 [5153 voxels],0.244979 [79800 voxels],0.190255 [4273 voxels],0.207855 [6557 voxels],0.190932 [42295 voxels],0.134495 [16349 voxels],0.296953 [3860 voxels],0.364521 [4695 voxels],0.383404 [5733 voxels],0.404888 [5822 voxels],0.359481 [13488 voxels],0.379477 [12635 voxels],0.211125 [13909 voxels],0.316314 [10811 voxels],0.261219 [21586 voxels],0.205528 [2746 voxels],0.306102 [14037 voxels],0.349816 [4974 voxels],0.363982 [2568 voxels],0.353344 [12617 voxels],0.135747 [1547 voxels],0.205864 [5553 voxels],0.248375 [5066 voxels],0.276076 [17093 voxels],0.168144 [4478 voxels],0.340388 [1821 voxels],0.275744 [8200 voxels],0.292185 [3410 voxels],0.333894 [2076 voxels],0.360376 [1349 voxels],0.273727 [2056 voxels],0.49444 [275 voxels],0.22636 [15981 voxels],0.198115 [2377 voxels],0.198513 [3846 voxels],0.23918 [21246 voxels],0.253038 [23457 voxels],0.163407 [1096 voxels]
,,0.0849885 [1979 voxels],0.151563 [8826 voxels],0.146636 [6190 voxels],0.106457 [1665 voxels],0.0833711 [4262 voxels],0.143945 [4819 voxels],0.177579 [18464 voxels],0.187885 [5640 voxels],0.153971 [5153 voxels],0.172479 [79800 voxels],0.176471 [4273 voxels],0.130754 [6557 voxels],0.196246 [42295 voxels],0.141223 [16349 voxels],0.282242 [3860 voxels],0.212761 [4695 voxels],0.24808 [5733 voxels],0.429782 [5822 voxels],0.261021 [13488 voxels],0.252266 [12635 voxels],0.198173 [13909 voxels],0.242577 [10811 voxels],0.207166 [21586 voxels],0.222768 [2746 voxels],0.268272 [14037 voxels],0.351184 [4974 voxels],0.311805 [2568 voxels],0.286551 [12617 voxels],0.12619 [1547 voxels],0.143976 [5553 voxels],0.157608 [5066 voxels],0.138418 [17093 voxels],0.153135 [4478 voxels],0.237449 [1821 voxels],0.270878 [8200 voxels],0.265059 [3410 voxels],0.341126 [2076 voxels],0.335161 [1349 voxels],0.289811 [2056 voxels],0.438085 [275 voxels],0.17011 [15981 voxels],0.215197 [2377 voxels],0.148427 [3846 voxels],0.195747 [21246 voxels],0.215673 [23457 voxels],0.1214 [1096 voxels]
,,0.113828 [1979 voxels],0.0993009 [8826 voxels],0.10618 [6190 voxels],0.086659 [1665 voxels],0.0862453 [4262 voxels],0.0769332 [4819 voxels],0.187217 [18464 voxels],0.192336 [5640 voxels],0.139682 [5153 voxels],0.18887 [79800 voxels],0.158248 [4273 voxels],0.104002 [6557 voxels],0.175305 [42295 voxels],0.12976 [16349 voxels],0.276358 [3860 voxels],0.246652 [4695 voxels],0.249017 [5733 voxels],0.353551 [5822 voxels],0.220928 [13488 voxels],0.233473 [12635 voxels],0.133887 [13909 voxels],0.203959 [10811 voxels],0.195845 [21586 voxels],0.201468 [2746 voxels],0.214 [14037 voxels],0.269219 [4974 voxels],0.295544 [2568 voxels],0.278889 [12617 voxels],0.126033 [1547 voxels],0.119416 [5553 voxels],0.120047 [5066 voxels],0.152961 [17093 voxels],0.0934193 [4478 voxels],0.161454 [1821 voxels],0.196608 [8200 voxels],0.188447 [3410 voxels],0.287119 [2076 voxels],0.208648 [1349 voxels],0.152847 [2056 voxels],0.379784 [275 voxels],0.19018 [15981 voxels],0.139331 [2377 voxels],0.147223 [3846 voxels],0.208936 [21246 voxels],0.202911 [23457 voxels],0.108841 [1096 voxels]
,,0.160786 [1979 voxels],0.174088 [8826 voxels],0.13015 [6190 voxels],0.108948 [1665 voxels],0.127344 [4262 voxels],0.113804 [4819 voxels],0.202426 [18464 voxels],0.214474 [5640 voxels],0.153272 [5153 voxels],0.199627 [79800 voxels],0.158539 [4273 voxels],0.157561 [6557 voxels],0.211583 [42295 voxels],0.14756 [16349 voxels],0.267596 [3860 voxels],0.382937 [4695 voxels],0.338389 [5733 voxels],0.392292 [5822 voxels],0.301245 [13488 voxels],0.296653 [12635 voxels],0.184976 [13909 voxels],0.287408 [10811 voxels],0.276874 [21586 voxels],0.345713 [2746 voxels],0.311797 [14037 voxels],0.363455 [4974 voxels],0.34609 [2568 voxels],0.338793 [12617 voxels],0.153669 [1547 voxels],0.162813 [5553 voxels],0.124272 [5066 voxels],0.218244 [17093 voxels],0.123048 [4478 voxels],0.276626 [1821 voxels],0.270981 [8200 voxels],0.234231 [3410 voxels],0.361371 [2076 voxels],0.352023 [1349 voxels],0.237422 [2056 voxels],0.410459 [275 voxels],0.210697 [15981 voxels],0.151524 [2377 voxels],0.191147 [3846 voxels],0.232569 [21246 voxels],0.246628 [23457 voxels],0.110628 [1096 voxels]
,,0.122448 [1979 voxels],0.118617 [8826 voxels],0.106847 [6190 voxels],0.103487 [1665 voxels],0.0927924 [4262 voxels],0.101616 [4819 voxels],0.15631 [18464 voxels],0.195054 [5640 voxels],0.102142 [5153 voxels],0.187762 [79800 voxels],0.118046 [4273 voxels],0.110289 [6557 voxels],0.170761 [42295 voxels],0.131898 [16349 voxels],0.299443 [3860 voxels],0.245621 [4695 voxels],0.25066 [5733 voxels],0.320888 [5822 voxels],0.217151 [13488 voxels],0.250613 [12635 voxels],0.142831 [13909 voxels],0.215192 [10811 voxels],0.205199 [21586 voxels],0.22404 [2746 voxels],0.187755 [14037 voxels],0.293116 [4974 voxels],0.252702 [2568 voxels],0.2796 [12617 voxels],0.178751 [1547 voxels],0.152292 [5553 voxels],0.123267 [5066 voxels],0.175718 [17093 voxels],0.125687 [4478 voxels],0.11937 [1821 voxels],0.177109 [8200 voxels],0.178437 [3410 voxels],0.296025 [2076 voxels],0.263472 [1349 voxels],0.186548 [2056 voxels],0.438671 [275 voxels],0.176504 [15981 voxels],0.132988 [2377 voxels],0.118537 [3846 voxels],0.180718 [21246 voxels],0.243079 [23457 voxels],0.0625361 [1096 voxels]
