0 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,10 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,11 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,12 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,13 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,14 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,15 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,16 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,17 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,18 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,19 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,1 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,20 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,21 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,22 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,23 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,24 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,25 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,26 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,27 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,28 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,29 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,2 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,30 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,31 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,32 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,33 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,34 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,35 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,36 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,37 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,38 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,39 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,3 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,40 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,41 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,42 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,43 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,44 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,45 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,46 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,47 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,4 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,5 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,6 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,7 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,8 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,9 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz
,,0.402613 [1979 voxels],0.390609 [8826 voxels],0.398489 [6190 voxels],0.427385 [1665 voxels],0.36365 [4262 voxels],0.385641 [4819 voxels],0.389182 [18464 voxels],0.412208 [5640 voxels],0.360726 [5153 voxels],0.410418 [79800 voxels],0.372389 [4273 voxels],0.382108 [6557 voxels],0.396508 [42295 voxels],0.408545 [16349 voxels],0.498077 [3860 voxels],0.479406 [4695 voxels],0.458002 [5733 voxels],0.58065 [5822 voxels],0.454989 [13488 voxels],0.464847 [12635 voxels],0.425244 [13909 voxels],0.487889 [10811 voxels],0.427313 [21586 voxels],0.382265 [2746 voxels],0.485183 [14037 voxels],0.501925 [4974 voxels],0.473428 [2568 voxels],0.525498 [12617 voxels],0.471258 [1547 voxels],0.454704 [5553 voxels],0.461764 [5066 voxels],0.383477 [17093 voxels],0.410493 [4478 voxels],0.466071 [1821 voxels],0.487757 [8200 voxels],0.513305 [3410 voxels],0.515972 [2076 voxels],0.533757 [1349 voxels],0.473664 [2056 voxels],0.522201 [275 voxels],0.387892 [15981 voxels],0.425467 [2377 voxels],0.354292 [3846 voxels],0.403625 [21246 voxels],0.461815 [23457 voxels],0.389257 [1096 voxels]
,,0.381808 [1979 voxels],0.386026 [8826 voxels],0.378621 [6190 voxels],0.387167 [1665 voxels],0.364454 [4262 voxels],0.363769 [4819 voxels],0.364214 [18464 voxels],0.343636 [5640 voxels],0.39522 [5153 voxels],0.408837 [79800 voxels],0.384115 [4273 voxels],0.409182 [6557 voxels],0.394846 [42295 voxels],0.392203 [16349 voxels],0.458484 [3860 voxels],0.536243 [4695 voxels],0.465139 [5733 voxels],0.59776 [5822 voxels],0.46468 [13488 voxels],0.485736 [12635 voxels],0.422714 [13909 voxels],0.503774 [10811 voxels],0.447757 [21586 voxels],0.44292 [2746 voxels],0.474858 [14037 voxels],0.53139 [4974 voxels],0.514045 [2568 voxels],0.526655 [12617 voxels],0.434974 [1547 voxels],0.434671 [5553 voxels],0.486106 [5066 voxels],0.416961 [17093 voxels],0.41301 [4478 voxels],0.408139 [1821 voxels],0.437123 [8200 voxels],0.477897 [3410 voxels],0.479158 [2076 voxels],0.494137 [1349 voxels],0.458035 [2056 voxels],0.517368 [275 voxels],0.390517 [15981 voxels],0.38483 [2377 voxels],0.372883 [3846 voxels],0.395017 [21246 voxels],0.432885 [23457 voxels],0.435709 [1096 voxels]
,,0.373655 [1979 voxels],0.401643 [8826 voxels],0.420014 [6190 voxels],0.430394 [1665 voxels],0.414146 [4262 voxels],0.375568 [4819 voxels],0.390811 [18464 voxels],0.399397 [5640 voxels],0.435163 [5153 voxels],0.478234 [79800 voxels],0.433972 [4273 voxels],0.390343 [6557 voxels],0.424511 [42295 voxels],0.40392 [16349 voxels],0.484127 [3860 voxels],0.506663 [4695 voxels],0.585711 [5733 voxels],0.608145 [5822 voxels],0.552982 [13488 voxels],0.547657 [12635 voxels],0.452394 [13909 voxels],0.537505 [10811 voxels],0.507384 [21586 voxels],0.466215 [2746 voxels],0.484026 [14037 voxels],0.573031 [4974 voxels],0.489934 [2568 voxels],0.520663 [12617 voxels],0.426773 [1547 voxels],0.427979 [5553 voxels],0.452414 [5066 voxels],0.469686 [17093 voxels],0.420194 [4478 voxels],0.494738 [1821 voxels],0.484837 [8200 voxels],0.477334 [3410 voxels],0.528547 [2076 voxels],0.522218 [1349 voxels],0.492202 [2056 voxels],0.594068 [275 voxels],0.413003 [15981 voxels],0.408598 [2377 voxels],0.388038 [3846 voxels],0.457303 [21246 voxels],0.465888 [23457 voxels],0.411916 [1096 voxels]
,,0.37285 [1979 voxels],0.379782 [8826 voxels],0.376707 [6190 voxels],0.450126 [1665 voxels],0.387986 [4262 voxels],0.379476 [4819 voxels],0.39666 [18464 voxels],0.369294 [5640 voxels],0.361684 [5153 voxels],0.440967 [79800 voxels],0.363979 [4273 voxels],0.38853 [6557 voxels],0.386641 [42295 voxels],0.38863 [16349 voxels],0.510019 [3860 voxels],0.482871 [4695 voxels],0.517115 [5733 voxels],0.613502 [5822 voxels],0.485003 [13488 voxels],0.479179 [12635 voxels],0.425087 [13909 voxels],0.506434 [10811 voxels],0.444095 [21586 voxels],0.467498 [2746 voxels],0.471269 [14037 voxels],0.574868 [4974 voxels],0.523079 [2568 voxels],0.539559 [12617 voxels],0.474481 [1547 voxels],0.480896 [5553 voxels],0.45911 [5066 voxels],0.434629 [17093 voxels],0.429549 [4478 voxels],0.453001 [1821 voxels],0.459914 [8200 voxels],0.477292 [3410 voxels],0.547854 [2076 voxels],0.529108 [1349 voxels],0.490718 [2056 voxels],0.611444 [275 voxels],0.411212 [15981 voxels],0.396806 [2377 voxels],0.344991 [3846 voxels],0.409077 [21246 voxels],0.457937 [23457 voxels],0.357538 [1096 voxels]
,,0.365118 [1979 voxels],0.420282 [8826 voxels],0.413259 [6190 voxels],0.374022 [1665 voxels],0.437375 [4262 voxels],0.415512 [4819 voxels],0.414693 [18464 voxels],0.438677 [5640 voxels],0.413315 [5153 voxels],0.45733 [79800 voxels],0.421719 [4273 voxels],0.4446 [6557 voxels],0.427376 [42295 voxels],0.405932 [16349 voxels],0.548664 [3860 voxels],0.553943 [4695 voxels],0.574551 [5733 voxels],0.640624 [5822 voxels],0.560057 [13488 voxels],0.556037 [12635 voxels],0.459303 [13909 voxels],0.565987 [10811 voxels],0.512591 [21586 voxels],0.472665 [2746 voxels],0.510368 [14037 voxels],0.574828 [4974 voxels],0.616676 [2568 voxels],0.591329 [12617 voxels],0.469312 [1547 voxels],0.533024 [5553 voxels],0.500839 [5066 voxels],0.499338 [17093 voxels],0.479136 [4478 voxels],0.520495 [1821 voxels],0.508649 [8200 voxels],0.507783 [3410 voxels],0.511754 [2076 voxels],0.551265 [1349 voxels],0.53583 [2056 voxels],0.623156 [275 voxels],0.424448 [15981 voxels],0.437025 [2377 voxels],0.383939 [3846 voxels],0.454365 [21246 voxels],0.458601 [23457 voxels],0.43992 [1096 voxels]
,,0.359835 [1979 voxels],0.388391 [8826 voxels],0.38129 [6190 voxels],0.417959 [1665 voxels],0.386566 [4262 voxels],0.395276 [4819 voxels],0.374798 [18464 voxels],0.363955 [5640 voxels],0.388833 [5153 voxels],0.400566 [79800 voxels],0.394982 [4273 voxels],0.363659 [6557 voxels],0.407003 [42295 voxels],0.38209 [16349 voxels],0.493678 [3860 voxels],0.473965 [4695 voxels],0.432134 [5733 voxels],0.591763 [5822 voxels],0.465736 [13488 voxels],0.461802 [12635 voxels],0.430638 [13909 voxels],0.488622 [10811 voxels],0.443879 [21586 voxels],0.39706 [2746 voxels],0.465793 [14037 voxels],0.545637 [4974 voxels],0.534396 [2568 voxels],0.51244 [12617 voxels],0.45129 [1547 voxels],0.460918 [5553 voxels],0.465924 [5066 voxels],0.385044 [17093 voxels],0.405092 [4478 voxels],0.476459 [1821 voxels],0.472712 [8200 voxels],0.472599 [3410 voxels],0.531307 [2076 voxels],0.527639 [1349 voxels],0.516524 [2056 voxels],0.528783 [275 voxels],0.38318 [15981 voxels],0.432197 [2377 voxels],0.33899 [3846 voxels],0.403126 [21246 voxels],0.440982 [23457 voxels],0.38693 [1096 voxels]
,,0.386057 [1979 voxels],0.404766 [8826 voxels],0.37878 [6190 voxels],0.429451 [1665 voxels],0.413403 [4262 voxels],0.361114 [4819 voxels],0.382176 [18464 voxels],0.38664 [5640 voxels],0.383823 [5153 voxels],0.431967 [79800 voxels],0.397349 [4273 voxels],0.386814 [6557 voxels],0.408366 [42295 voxels],0.391008 [16349 voxels],0.513005 [3860 voxels],0.47841 [4695 voxels],0.466271 [5733 voxels],0.573705 [5822 voxels],0.462849 [13488 voxels],0.466675 [12635 voxels],0.411378 [13909 voxels],0.486822 [10811 voxels],0.438096 [21586 voxels],0.440538 [2746 voxels],0.456427 [14037 voxels],0.549192 [4974 voxels],0.521119 [2568 voxels],0.524916 [12617 voxels],0.422391 [1547 voxels],0.452464 [5553 voxels],0.45757 [5066 voxels],0.411835 [17093 voxels],0.402892 [4478 voxels],0.45423 [1821 voxels],0.460931 [8200 voxels],0.459081 [3410 voxels],0.494869 [2076 voxels],0.517201 [1349 voxels],0.489352 [2056 voxels],0.573123 [275 voxels],0.40563 [15981 voxels],0.41999 [2377 voxels],0.361951 [3846 voxels],0.413574 [21246 voxels],0.430778 [23457 voxels],0.430458 [1096 voxels]
,,0.386225 [1979 voxels],0.41851 [8826 voxels],0.384523 [6190 voxels],0.409999 [1665 voxels],0.390316 [4262 voxels],0.41756 [4819 voxels],0.386832 [18464 voxels],0.400539 [5640 voxels],0.374054 [5153 voxels],0.437964 [79800 voxels],0.39712 [4273 voxels],0.382536 [6557 voxels],0.432069 [42295 voxels],0.39826 [16349 voxels],0.493707 [3860 voxels],0.483919 [4695 voxels],0.53234 [5733 voxels],0.61287 [5822 voxels],0.510112 [13488 voxels],0.503928 [12635 voxels],0.438298 [13909 voxels],0.540455 [10811 voxels],0.4975 [21586 voxels],0.525679 [2746 voxels],0.504248 [14037 voxels],0.583756 [4974 voxels],0.523345 [2568 voxels],0.585664 [12617 voxels],0.468342 [1547 voxels],0.441824 [5553 voxels],0.475367 [5066 voxels],0.427882 [17093 voxels],0.421592 [4478 voxels],0.484813 [1821 voxels],0.493832 [8200 voxels],0.465288 [3410 voxels],0.518266 [2076 voxels],0.554486 [1349 voxels],0.494035 [2056 voxels],0.590879 [275 voxels],0.417622 [15981 voxels],0.382814 [2377 voxels],0.36168 [3846 voxels],0.422646 [21246 voxels],0.451374 [23457 voxels],0.379443 [1096 voxels]
,,0.382082 [1979 voxels],0.405717 [8826 voxels],0.427639 [6190 voxels],0.410156 [1665 voxels],0.420526 [4262 voxels],0.421695 [4819 voxels],0.372194 [18464 voxels],0.442595 [5640 voxels],0.39518 [5153 voxels],0.435104 [79800 voxels],0.396616 [4273 voxels],0.411719 [6557 voxels],0.430899 [42295 voxels],0.419898 [16349 voxels],0.542293 [3860 voxels],0.477331 [4695 voxels],0.483681 [5733 voxels],0.558007 [5822 voxels],0.451186 [13488 voxels],0.463458 [12635 voxels],0.426816 [13909 voxels],0.501073 [10811 voxels],0.476147 [21586 voxels],0.445991 [2746 voxels],0.45302 [14037 voxels],0.504262 [4974 voxels],0.544534 [2568 voxels],0.550946 [12617 voxels],0.436616 [1547 voxels],0.489457 [5553 voxels],0.464944 [5066 voxels],0.412009 [17093 voxels],0.417908 [4478 voxels],0.446079 [1821 voxels],0.459382 [8200 voxels],0.481105 [3410 voxels],0.503013 [2076 voxels],0.550859 [1349 voxels],0.503025 [2056 voxels],0.584207 [275 voxels],0.404854 [15981 voxels],0.408044 [2377 voxels],0.3467 [3846 voxels],0.409535 [21246 voxels],0.459863 [23457 voxels],0.414281 [1096 voxels]
