0 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,10 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,11 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,12 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,13 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,14 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,15 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,16 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,17 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,18 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,19 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,1 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,20 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,21 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,22 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,23 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,24 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,25 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,26 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,27 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,28 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,29 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,2 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,30 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,31 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,32 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,33 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,34 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,35 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,36 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,37 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,38 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,39 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,3 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,40 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,41 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,42 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,43 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,44 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,45 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,46 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,47 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,4 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,5 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,6 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,7 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,8 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,9 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz
,,0.473925 [1979 voxels],0.458911 [8826 voxels],0.466878 [6190 voxels],0.495316 [1665 voxels],0.432251 [4262 voxels],0.44935 [4819 voxels],0.445926 [18464 voxels],0.465839 [5640 voxels],0.425105 [5153 voxels],0.475327 [79800 voxels],0.441283 [4273 voxels],0.448864 [6557 voxels],0.459505 [42295 voxels],0.474807 [16349 voxels],0.553174 [3860 voxels],0.543176 [4695 voxels],0.513963 [5733 voxels],0.617306 [5822 voxels],0.52072 [13488 voxels],0.52709 [12635 voxels],0.485868 [13909 voxels],0.544457 [10811 voxels],0.49006 [21586 voxels],0.439787 [2746 voxels],0.536885 [14037 voxels],0.547238 [4974 voxels],0.520516 [2568 voxels],0.577279 [12617 voxels],0.533176 [1547 voxels],0.511391 [5553 voxels],0.520288 [5066 voxels],0.443876 [17093 voxels],0.471498 [4478 voxels],0.529962 [1821 voxels],0.544913 [8200 voxels],0.569463 [3410 voxels],0.569258 [2076 voxels],0.579791 [1349 voxels],0.527617 [2056 voxels],0.58239 [275 voxels],0.453729 [15981 voxels],0.490438 [2377 voxels],0.420224 [3846 voxels],0.462465 [21246 voxels],0.520866 [23457 voxels],0.453954 [1096 voxels]
,,0.455176 [1979 voxels],0.454703 [8826 voxels],0.448565 [6190 voxels],0.455082 [1665 voxels],0.424654 [4262 voxels],0.43028 [4819 voxels],0.423543 [18464 voxels],0.400194 [5640 voxels],0.464369 [5153 voxels],0.471802 [79800 voxels],0.451963 [4273 voxels],0.476136 [6557 voxels],0.45977 [42295 voxels],0.461813 [16349 voxels],0.513838 [3860 voxels],0.583716 [4695 voxels],0.515339 [5733 voxels],0.631154 [5822 voxels],0.52032 [13488 voxels],0.540802 [12635 voxels],0.48112 [13909 voxels],0.556048 [10811 voxels],0.505765 [21586 voxels],0.500694 [2746 voxels],0.526367 [14037 voxels],0.574459 [4974 voxels],0.558139 [2568 voxels],0.572906 [12617 voxels],0.498673 [1547 voxels],0.48934 [5553 voxels],0.541864 [5066 voxels],0.475251 [17093 voxels],0.47181 [4478 voxels],0.471276 [1821 voxels],0.498521 [8200 voxels],0.535591 [3410 voxels],0.537965 [2076 voxels],0.544421 [1349 voxels],0.51487 [2056 voxels],0.571935 [275 voxels],0.451407 [15981 voxels],0.448196 [2377 voxels],0.433957 [3846 voxels],0.451655 [21246 voxels],0.492584 [23457 voxels],0.500675 [1096 voxels]
,,0.4372 [1979 voxels],0.470529 [8826 voxels],0.487251 [6190 voxels],0.495699 [1665 voxels],0.479919 [4262 voxels],0.442288 [4819 voxels],0.449122 [18464 voxels],0.450388 [5640 voxels],0.499849 [5153 voxels],0.535084 [79800 voxels],0.500931 [4273 voxels],0.455148 [6557 voxels],0.48578 [42295 voxels],0.471612 [16349 voxels],0.542805 [3860 voxels],0.56416 [4695 voxels],0.626449 [5733 voxels],0.64342 [5822 voxels],0.601286 [13488 voxels],0.597434 [12635 voxels],0.509426 [13909 voxels],0.586351 [10811 voxels],0.56121 [21586 voxels],0.52161 [2746 voxels],0.534343 [14037 voxels],0.610731 [4974 voxels],0.540579 [2568 voxels],0.569127 [12617 voxels],0.484376 [1547 voxels],0.482804 [5553 voxels],0.510292 [5066 voxels],0.519432 [17093 voxels],0.484643 [4478 voxels],0.55228 [1821 voxels],0.543012 [8200 voxels],0.538206 [3410 voxels],0.587917 [2076 voxels],0.570939 [1349 voxels],0.55163 [2056 voxels],0.629074 [275 voxels],0.471302 [15981 voxels],0.470862 [2377 voxels],0.451417 [3846 voxels],0.507977 [21246 voxels],0.521172 [23457 voxels],0.475204 [1096 voxels]
,,0.441503 [1979 voxels],0.448136 [8826 voxels],0.444339 [6190 voxels],0.512013 [1665 voxels],0.446929 [4262 voxels],0.445692 [4819 voxels],0.455814 [18464 voxels],0.429106 [5640 voxels],0.427657 [5153 voxels],0.501947 [79800 voxels],0.431531 [4273 voxels],0.461491 [6557 voxels],0.454205 [42295 voxels],0.455578 [16349 voxels],0.562664 [3860 voxels],0.54325 [4695 voxels],0.567468 [5733 voxels],0.644983 [5822 voxels],0.541348 [13488 voxels],0.532458 [12635 voxels],0.484157 [13909 voxels],0.556049 [10811 voxels],0.503158 [21586 voxels],0.528787 [2746 voxels],0.522612 [14037 voxels],0.612896 [4974 voxels],0.566249 [2568 voxels],0.585481 [12617 voxels],0.527333 [1547 voxels],0.535845 [5553 voxels],0.515439 [5066 voxels],0.49091 [17093 voxels],0.489847 [4478 voxels],0.514267 [1821 voxels],0.520312 [8200 voxels],0.534875 [3410 voxels],0.600378 [2076 voxels],0.58292 [1349 voxels],0.550035 [2056 voxels],0.659155 [275 voxels],0.470765 [15981 voxels],0.457864 [2377 voxels],0.409661 [3846 voxels],0.465224 [21246 voxels],0.514502 [23457 voxels],0.423351 [1096 voxels]
,,0.433197 [1979 voxels],0.482157 [8826 voxels],0.479905 [6190 voxels],0.435236 [1665 voxels],0.496194 [4262 voxels],0.473607 [4819 voxels],0.467197 [18464 voxels],0.491474 [5640 voxels],0.471457 [5153 voxels],0.512302 [79800 voxels],0.483628 [4273 voxels],0.507506 [6557 voxels],0.489213 [42295 voxels],0.470097 [16349 voxels],0.596038 [3860 voxels],0.598959 [4695 voxels],0.611301 [5733 voxels],0.670255 [5822 voxels],0.604869 [13488 voxels],0.598346 [12635 voxels],0.51188 [13909 voxels],0.606287 [10811 voxels],0.562578 [21586 voxels],0.529102 [2746 voxels],0.555621 [14037 voxels],0.610191 [4974 voxels],0.650559 [2568 voxels],0.631108 [12617 voxels],0.532432 [1547 voxels],0.578143 [5553 voxels],0.549384 [5066 voxels],0.544289 [17093 voxels],0.533225 [4478 voxels],0.56822 [1821 voxels],0.563602 [8200 voxels],0.559975 [3410 voxels],0.562443 [2076 voxels],0.59455 [1349 voxels],0.58858 [2056 voxels],0.659755 [275 voxels],0.479244 [15981 voxels],0.493412 [2377 voxels],0.443667 [3846 voxels],0.505517 [21246 voxels],0.513355 [23457 voxels],0.503503 [1096 voxels]
,,0.431925 [1979 voxels],0.458903 [8826 voxels],0.450753 [6190 voxels],0.487011 [1665 voxels],0.459966 [4262 voxels],0.456735 [4819 voxels],0.435214 [18464 voxels],0.421577 [5640 voxels],0.455758 [5153 voxels],0.468311 [79800 voxels],0.462209 [4273 voxels],0.432651 [6557 voxels],0.471652 [42295 voxels],0.449407 [16349 voxels],0.546715 [3860 voxels],0.535981 [4695 voxels],0.489136 [5733 voxels],0.624853 [5822 voxels],0.528339 [13488 voxels],0.521825 [12635 voxels],0.489275 [13909 voxels],0.542363 [10811 voxels],0.504054 [21586 voxels],0.455836 [2746 voxels],0.517815 [14037 voxels],0.585487 [4974 voxels],0.576005 [2568 voxels],0.558662 [12617 voxels],0.51274 [1547 voxels],0.516579 [5553 voxels],0.521729 [5066 voxels],0.450017 [17093 voxels],0.466446 [4478 voxels],0.537578 [1821 voxels],0.531415 [8200 voxels],0.529582 [3410 voxels],0.5856 [2076 voxels],0.571686 [1349 voxels],0.571344 [2056 voxels],0.5808 [275 voxels],0.448023 [15981 voxels],0.496908 [2377 voxels],0.405587 [3846 voxels],0.464047 [21246 voxels],0.499981 [23457 voxels],0.452755 [1096 voxels]
,,0.452533 [1979 voxels],0.475689 [8826 voxels],0.450624 [6190 voxels],0.496704 [1665 voxels],0.480567 [4262 voxels],0.430355 [4819 voxels],0.440743 [18464 voxels],0.442936 [5640 voxels],0.449746 [5153 voxels],0.4966 [79800 voxels],0.46543 [4273 voxels],0.457791 [6557 voxels],0.473277 [42295 voxels],0.458859 [16349 voxels],0.568001 [3860 voxels],0.542374 [4695 voxels],0.519995 [5733 voxels],0.612136 [5822 voxels],0.525774 [13488 voxels],0.527114 [12635 voxels],0.474262 [13909 voxels],0.541552 [10811 voxels],0.496961 [21586 voxels],0.498428 [2746 voxels],0.512059 [14037 voxels],0.590707 [4974 voxels],0.566754 [2568 voxels],0.573761 [12617 voxels],0.484882 [1547 voxels],0.507814 [5553 voxels],0.516568 [5066 voxels],0.473034 [17093 voxels],0.466897 [4478 voxels],0.520444 [1821 voxels],0.5231 [8200 voxels],0.521311 [3410 voxels],0.553595 [2076 voxels],0.567019 [1349 voxels],0.548856 [2056 voxels],0.62999 [275 voxels],0.467253 [15981 voxels],0.484315 [2377 voxels],0.427005 [3846 voxels],0.470236 [21246 voxels],0.489879 [23457 voxels],0.495848 [1096 voxels]
,,0.458224 [1979 voxels],0.489871 [8826 voxels],0.453414 [6190 voxels],0.480286 [1665 voxels],0.456066 [4262 voxels],0.484534 [4819 voxels],0.443328 [18464 voxels],0.456438 [5640 voxels],0.440666 [5153 voxels],0.500397 [79800 voxels],0.464416 [4273 voxels],0.450897 [6557 voxels],0.493111 [42295 voxels],0.464117 [16349 voxels],0.548218 [3860 voxels],0.539582 [4695 voxels],0.579039 [5733 voxels],0.645079 [5822 voxels],0.563245 [13488 voxels],0.559343 [12635 voxels],0.494832 [13909 voxels],0.589191 [10811 voxels],0.551775 [21586 voxels],0.576618 [2746 voxels],0.549569 [14037 voxels],0.619592 [4974 voxels],0.566473 [2568 voxels],0.628985 [12617 voxels],0.526212 [1547 voxels],0.498026 [5553 voxels],0.535174 [5066 voxels],0.482404 [17093 voxels],0.481842 [4478 voxels],0.539886 [1821 voxels],0.550295 [8200 voxels],0.524745 [3410 voxels],0.570064 [2076 voxels],0.600362 [1349 voxels],0.551485 [2056 voxels],0.642841 [275 voxels],0.477217 [15981 voxels],0.446429 [2377 voxels],0.426716 [3846 voxels],0.477821 [21246 voxels],0.507518 [23457 voxels],0.446155 [1096 voxels]
,,0.450258 [1979 voxels],0.476869 [8826 voxels],0.497074 [6190 voxels],0.471782 [1665 voxels],0.4861 [4262 voxels],0.488993 [4819 voxels],0.432659 [18464 voxels],0.500318 [5640 voxels],0.465831 [5153 voxels],0.501553 [79800 voxels],0.465627 [4273 voxels],0.482594 [6557 voxels],0.494431 [42295 voxels],0.48654 [16349 voxels],0.59247 [3860 voxels],0.537522 [4695 voxels],0.538993 [5733 voxels],0.596149 [5822 voxels],0.512963 [13488 voxels],0.524536 [12635 voxels],0.48787 [13909 voxels],0.552949 [10811 voxels],0.533597 [21586 voxels],0.501565 [2746 voxels],0.508397 [14037 voxels],0.551342 [4974 voxels],0.588227 [2568 voxels],0.596635 [12617 voxels],0.49456 [1547 voxels],0.544044 [5553 voxels],0.522964 [5066 voxels],0.472294 [17093 voxels],0.47914 [4478 voxels],0.513759 [1821 voxels],0.520321 [8200 voxels],0.540194 [3410 voxels],0.560434 [2076 voxels],0.598952 [1349 voxels],0.559847 [2056 voxels],0.633148 [275 voxels],0.468453 [15981 voxels],0.474227 [2377 voxels],0.414836 [3846 voxels],0.468765 [21246 voxels],0.518662 [23457 voxels],0.48284 [1096 voxels]
