subject_id,SEX,maze_accuracy_pct
301,Female,0.125
306,Female,0
310,Female,0
312,Female,0.083333333
313,Female,0.208333333
315,Female,0.125
319,Male,0.041666667
321,Male,0.125
322,Male,0.083333333
323,Female,0.291666667
324,Female,0.041666667
325,Male,1
326,Female,0.041666667
327,Female,0.041666667
330,Male,0.375
332,Female,0.083333333
333,Female,0.208333333
334,Female,0.125
337,Female,0
339,Female,0.0417
340,Female,0
342,Female,0
343,Male,0
345,Male,0.0833
346,Male,0.0833
348,Male,0.125
351,Female,0.25
352,Male,0.6667
353,Male,0.1667
354,Male,0.1667
355,Female,0
356,Female,0.1667
357,Male,0.0833
358,Female,0.0417
385,Female,0.25
386,Female,0
387,Female,0.125
389,Female,0.0833
390,Female,1
391,Female,0.125
392,Female,0.0417
393,Female,0.1667
395,Female,0
396,Female,0.3333
397,Female,0.125
398,Female,0.2083
399,Female,0.2917
400,Female,0.1667
401,Female,0.1667
402,Female,0.1667
403,Female,0.0417
406,Female,0
407,Female,0.0417
408,Female,0.0833
409,Female,0.0833
410,Female,0.25
411,Male,0.125
412,Male,0.125
413,Female,0
414,Female,0.1667
415,Female,0.0417
416,Female,0.125
417,Female,0.125
418,Female,0.125
419,Female,0.0833
420,Female,0.0833
421,Female,0.0833
422,Female,0.125
423,Female,0.25
425,Female,0.2083
426,Male,0.0833
427,Female,0.3333
428,Male,0.0417
430,Female,0.0417
432,Female,0.333
433,Male,0.125
434,Female,0.0833
435,Male,0.0833
436,Male,0.1667
437,Male,1
