ID,Age,Sex,n_trials,n_selects,n_corrects,n_outoftimes,accuracy,accuracy_sd
3001,53,F,24,21,21,3,0.875,0.3378319623460881
3002,53,F,24,21,21,3,0.875,0.3378319623460881
3003,NA,NA,24,20,20,4,0.8333333333333334,0.38069349381344053
3004,49,F,24,22,22,2,0.9166666666666666,0.28232985128663995
3005,49,F,24,24,24,0,1,0
3006,56,M,24,20,19,4,0.7916666666666666,0.4148511169990534
3007,NA,NA,24,24,24,0,1,0
3008,NA,NA,24,19,19,5,0.7916666666666666,0.4148511169990534
3009,NA,NA,24,23,22,1,0.9166666666666666,0.28232985128663995
3010,NA,NA,24,23,23,1,0.9583333333333334,0.2041241452319315
